Season,Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,XBR,wSB,wRC,wRAA,wOBA,wRC+,Age,G,AB,H,HR,R,RBI,BB,IBB,SB,Bat,Fld,Rep,Pos,WAR,WPA,RE24,REW,pLI,WPA/LI,Clutch,BsR,Def,Off,Lg,OBP+,ISO+,BABIP+,LA,Barrels,Barrel%,HardHit,HardHit%,xSLG,xwOBA,NameASCII,PlayerId,MLBAMID,from,to,name,pos,yrs,total,aav,mlb_contract,Starting Year,Contract Year,first_name,last_name,mlbam_id
2022,Jeremy Peña,HOU,558,0.039426523,0.241935483,0.162962962,0.253358925,0.288808664,0.426103646,0.71491231,0.172744721,5.254280126399591,0.298102981,1.3302003145217896,0.9255072269588708,63.54091792297773,-0.264402325,0.3091494010673963,102.47283535760988,24,136,521,132,22,72,63,22,0,11,1.5527328599732306,4.111938477,16.639464799314737,5.992797374725342,3.3153018619986683,1.230321764945984,4.735300064086914,0.5665721893310547,0.8996891379356384,0.1635064333677292,1.203990086340168,2.2557075414806604,10.104735851287842,3.808440401453891,1.0227560489438474,93.35948474883966,115.6853762691185,102.93712394226228,8.708333333333334,38,0.09620253,144,0.36455696,0.4176503146544587,0.3072675898455191,Jeremy Pena,21636,665161,,,,,,,,,,,,,
2023,Jeremy Peña,HOU,634,0.067823343,0.203470031,0.333333333,0.263431542,0.323809523,0.381282495,0.705092018,0.117850953,4.891713478556111,0.323462414,3.076819896697998,-2.416111884,72.63141218980786,-4.617797885,0.3096046154942535,96.13720401758786,25,150,577,152,10,81,52,43,1,13,-2.934429008,1.0637695789337158,19.684731863439083,6.829559803009033,2.717134541220058,-3.226353168,-5.008499622,-0.3924236,0.9352039098739624,-1.279576182,-2.170316546,0.6607080129906535,7.893329381942749,-2.273720995,1.9439811739139257,102.14828683322654,71.39483548619538,109.23947798944047,5.496613995485327,18,0.0397351,161,0.35540839,0.3768680738366168,0.3089966210313498,Jeremy Pena,21636,665161,,,,,,,,,,,,,
2024,Jeremy Peña,HOU,650,0.038461538,0.17076923,0.225225225,0.26578073,0.307573415,0.393687707,0.701261122,0.127906977,5.441807083,0.300829875,1.8226587772369385,0.3624209836125374,73.35626578424237,-2.679480775,0.3050573243998891,99.16227710219016,26,157,602,160,15,78,70,25,1,20,-0.623044907,-3.725659847,19.654036965221167,7.13991642,2.7376284002660847,-2.195221901,-7.323999882,-0.765219927,1.045650839805603,-0.705520391,-1.393862899,2.185079760849476,3.4142565727233887,1.5620348537351796,1.877113350201398,99.58191165,82.63597349030748,105.3378080522226,7.449186991869919,27,0.054,194,0.388,0.4013121231742527,0.3136126794547678,Jeremy Pena,21636,665161,,,,,,,,,,,,,
2025,Jeremy Peña,HOU,543,0.064456721,0.171270718,0.376344086,0.304259634,0.363468634,0.476673427,0.840142061,0.172413793,5.467043026832959,0.345454545,2.065814733505249,2.217120949178934,86.13912390378049,21.97948891875079,0.3629105426647045,135.11462301057807,27,125,493,150,17,68,62,35,2,20,22.47296703067353,5.197882652282715,16.53761457838118,5.245197772979736,5.718327312,1.7100794315338137,27.98819923400879,2.9009954929351807,0.959557831,1.7816414833068848,0.000512104,4.282935682684183,10.443080425262451,26.75590271335772,2.15419260179624,116.09144777906164,106.50068045380011,119.78428283640898,8.952380952380953,33,0.08188586,173,0.4292804,0.4319174851828474,0.3339156113661728,Jeremy Pena,21636,665161,,,,,,,,,,,,,
2021,Rafael Marchán,PHI,56,0.071428571,0.178571428,0.4,0.23076923,0.285714285,0.346153846,0.631868131,0.115384616,4.51785714,0.268292682,-0.108033918,-0.044492777,5.0305651522373305,-1.748559048,0.2766876380358423,70.26049561272441,22,20,52,12,1,7,4,4,0,0,-2.120161762,-1.344944805,1.7500709295272827,0.9773662090301514,-0.076415605,-0.28627196,-4.193000317,-0.409764647,0.8871896862983704,-0.274412364,-0.048260413,-0.152526695,-0.367578596,-2.272688457,0.1281380895525217,87.57691128716873,67.30871470125632,91.09849204803152,17.452380952380953,0,0.0,8,0.19047619,0.3184615281911996,0.2796271017619541,Rafael Marchan,21646,665561,,,,,,,,,,,,,
2024,Rafael Marchán,PHI,56,0.053571428,0.142857142,0.375,0.294117647,0.345454545,0.549019607,0.894474152,0.25490196,1.601190471,0.3,-0.421053916,-0.094709069,9.786167903384104,3.235395892104044,0.3819615949283946,144.8955488489419,25,17,51,15,3,8,6,3,0,0,3.0064403848256016,0.1998369693756103,1.6932708770036695,1.1059670448303225,0.585530837,-0.177832261,-0.375000149,-0.026510824,0.9557368159294128,0.3087784647941589,-0.494846698,-0.515762985,1.3058040142059326,2.4906774000729466,0.1797259170562029,109.55014049006807,162.2796719774302,101.53766731454574,16.564102564102566,3,0.06818182,12,0.27272727,0.4851801040324759,0.3762422823438457,Rafael Marchan,21646,665561,,,,,,,,,,,,,
2025,Rafael Marchán,PHI,118,0.084745762,0.144067796,0.588235294,0.209523809,0.282051282,0.304761904,0.586813186,0.095238095,0.976190471,0.229885057,-0.600403011,-0.178245211,9.202092326356237,-4.740517118,0.263574089,64.53137792240194,26,42,105,22,2,9,13,10,0,0,-4.960443758,2.003529131412506,3.593809429556132,2.4262688159942627,0.2676661967710462,0.1035859361290931,-1.482000232,-0.146932244,1.0203131437301636,-0.327365577,0.4288892484248309,-0.778648222,4.429797947406769,-5.73909198,0.3316474184393883,88.91411220458122,61.34394148300236,78.51921502311781,11.123595505617978,2,0.02222222,20,0.22222222,0.292538089,0.2608851571368356,Rafael Marchan,21646,665561,,,,,,,,,,,,,
2023,Miguel Amaya,CHC,156,0.076923076,0.256410256,0.3,0.213740458,0.329032258,0.358778625,0.687810883,0.145038167,1.6607142775,0.264367816,0.0240815952420234,-0.323615192,17.964979304671385,-1.042712764,0.3103265097064356,95.06508363341923,24,53,131,28,5,17,18,12,0,0,-0.953724311,1.0790632963180542,4.8435617834329605,1.5569273233413696,0.6668579360012825,-0.823614717,3.369000196456909,0.3482384085655212,0.8422712683677673,-0.169603869,-0.808245842,-0.299533597,2.635990619659424,-1.253257908,0.4611768499016762,101.77999707088944,87.11628535,89.02828860073225,18.626373626373628,9,0.09677419,31,0.33333333,0.3913488024063692,0.3291092165054813,Miguel Amaya,21693,665804,,,,,,,,,,,,,
2024,Miguel Amaya,CHC,363,0.063360881,0.170798898,0.370967741,0.231707317,0.287709497,0.356707317,0.644416814,0.125,2.166208784,0.260536398,-2.098895311,-0.63139379,34.54836137259459,-7.914678629,0.2830892371731763,81.68659547466942,25,117,328,76,8,32,47,23,0,0,-7.949448462,-3.421005368,10.97602372057736,7.764631748199463,0.5995191239250018,-1.492746711,-6.102000237,-0.609717309,0.90522438287735,-1.134765506,-0.514269517,-2.730289102,4.343626379966736,-10.67973756,1.1650090694893152,91.23809853674618,79.57945477225353,88.18086034484695,11.13157894736842,13,0.04744526,93,0.33941606,0.3776882382258316,0.3026587454120764,Miguel Amaya,21693,665804,,,,,,,,,,,,,
2025,Miguel Amaya,CHC,103,0.038834951,0.213592233,0.181818181,0.28125,0.31372549,0.5,0.81372549,0.21875,1.8326719525,0.323943661,-0.013651578,-0.125431815,14.898001298670556,2.7277574617312195,0.3456735511620839,124.17490503725809,26,28,96,27,4,14,25,4,0,0,2.951183453564429,0.1889876127243042,3.1369692478328943,1.8609968423843384,0.8480216387044097,1.026333212852478,11.029999732971191,1.1411036252975464,0.8799961805343628,0.2255500108003616,0.9407427931402812,-0.139083393,2.0499844551086426,2.81210006064632,0.289488848298788,98.89911941,140.89936594601946,110.64573881126594,18.613333333333333,5,0.06578947,25,0.32894737,0.3926374912261963,0.2949849484013576,Miguel Amaya,21693,665804,,,,,,,,,,,,,
