n_teams_interested,n_rumor_mentions,has_big_market_interest,first_rumor_doy,rumor_intensity,mlbam_id,contract_year
0,0,0,365,0,592407,2018
4,4,1,365,16,547180,2018
0,1,0,365,0,605490,2018
0,1,0,365,0,543376,2018
0,0,0,365,0,457727,2018
0,0,0,365,0,573088,2018
0,0,0,365,0,519237,2018
0,0,0,365,0,641319,2018
0,1,0,365,0,460576,2018
0,1,0,365,0,471865,2018
0,0,0,365,0,542208,2018
0,0,0,365,0,527049,2018
0,0,0,365,0,488818,2018
0,2,0,365,0,543302,2018
1,3,0,365,3,453400,2018
0,1,0,365,0,572008,2018
0,0,0,365,0,455755,2018
0,0,0,365,0,518568,2018
0,0,0,365,0,460060,2018
0,0,0,365,0,605125,2018
0,0,0,365,0,518577,2018
0,1,0,365,0,543377,2018
0,0,0,365,0,605486,2018
0,0,0,365,0,502226,2018
0,0,0,365,0,542436,2018
0,0,0,365,0,434158,2018
0,0,0,365,0,518614,2018
0,0,0,365,0,502517,2018
0,0,0,365,0,457787,2018
0,0,0,365,0,518618,2018
0,1,0,365,0,501961,2018
0,0,0,365,0,571918,2018
0,0,0,365,0,519023,2018
0,0,0,365,0,599096,2018
0,0,0,365,0,425900,2018
0,2,0,365,0,553988,2018
0,0,0,365,0,456781,2018
0,0,0,365,0,460077,2018
0,0,0,365,0,554429,2018
0,0,0,365,0,572863,2018
0,0,0,365,0,622226,2018
0,0,0,365,0,466988,2018
0,0,0,365,0,493472,2018
0,0,0,365,0,519299,2018
0,0,0,365,0,458913,2018
0,0,0,365,0,456124,2018
0,0,0,365,0,485567,2018
0,1,0,365,0,516472,2018
0,0,0,365,0,465041,2018
0,1,0,365,0,506747,2018
0,0,0,365,0,643524,2018
0,0,0,365,0,520471,2018
0,0,0,365,0,467827,2018
0,0,0,365,0,547912,2018
0,1,0,365,0,493596,2018
0,0,0,365,0,491676,2018
0,5,0,365,0,463610,2018
0,0,0,365,0,453923,2018
2,1,1,365,2,434670,2018
0,0,0,365,0,605612,2018
0,0,0,365,0,592656,2018
0,1,0,365,0,452254,2018
0,0,0,365,0,516949,2018
0,0,0,365,0,435079,2018
0,1,0,365,0,400085,2018
0,1,0,365,0,622668,2018
0,0,0,365,0,543776,2018
0,1,0,365,0,607054,2018
0,0,0,365,0,519295,2018
0,1,0,365,0,543510,2018
0,0,0,365,0,592620,2018
0,0,0,365,0,595144,2018
0,1,0,365,0,476704,2018
0,0,0,365,0,425772,2018
0,0,0,365,0,621044,2018
0,0,0,365,0,491696,2018
0,0,0,365,0,542908,2018
0,0,0,365,0,110073,2018
0,1,0,365,0,116265,2018
0,1,0,365,0,605412,2018
0,5,0,365,0,445055,2018
0,0,0,365,0,518960,2018
0,0,0,365,0,570731,2018
0,0,0,365,0,457574,2018
0,0,0,365,0,518170,2018
0,0,0,365,0,474568,2018
0,0,0,365,0,578428,2018
0,0,0,365,0,446653,2018
0,2,0,365,0,518626,2018
0,1,0,365,0,543281,2018
0,0,0,365,0,489365,2018
0,0,0,365,0,518542,2018
0,0,0,365,0,492802,2018
0,1,0,365,0,571506,2018
0,0,0,365,0,605509,2018
0,1,0,365,0,435559,2018
0,1,0,365,0,572669,2018
0,0,0,365,0,523253,2018
0,0,0,365,0,489149,2018
0,0,0,365,0,502082,2018
0,0,0,365,0,446263,2018
0,0,0,365,0,434682,2018
0,0,0,365,0,596143,2018
0,0,0,365,0,607776,2018
